0.800, 1.000, 0.889
0.200, 0.333, 0.250
1.000, 1.000, 1.000
1.000, 0.625, 0.769
0.571, 0.800, 0.667
1.000, 1.000, 1.000
0.750, 1.000, 0.857
1.000, 1.000, 1.000
1.000, 0.500, 0.667
0.375, 0.750, 0.500
0.625, 1.000, 0.769
1.000, 1.000, 1.000
0.808, 0.750, 0.778
0.750, 0.900, 0.818
0.667, 0.800, 0.727
1.000, 1.000, 1.000
0.320, 0.400, 0.356
0.250, 0.500, 0.333
0.500, 0.667, 0.571
0.778, 0.875, 0.824
1.000, 1.000, 1.000
1.000, 0.857, 0.923
1.000, 1.000, 1.000
0.667, 1.000, 0.800
1.000, 1.000, 1.000
1.000, 1.000, 1.000
1.000, 0.875, 0.933
0.500, 0.750, 0.600
0.800, 0.889, 0.842
0.778, 0.875, 0.824
0.429, 0.750, 0.545
1.000, 1.000, 1.000
1.000, 0.800, 0.889
0.200, 0.500, 0.286
0.500, 0.500, 0.500
0.500, 0.500, 0.500
0.250, 0.250, 0.250
1.000, 1.000, 1.000
0.625, 0.833, 0.714
0.600, 1.000, 0.750
0.778, 0.583, 0.667
0.750, 0.643, 0.692
1.000, 1.000, 1.000
0.778, 0.500, 0.609
0.769, 1.000, 0.870
0.500, 0.500, 0.500
1.000, 1.000, 1.000
1.000, 1.000, 1.000
0.769, 0.909, 0.833
1.000, 1.000, 1.000
0.333, 0.500, 0.400
0.154, 1.000, 0.267
1.000, 1.000, 1.000
1.000, 1.000, 1.000
0.750, 0.667, 0.706
0.333, 0.500, 0.400
0.667, 0.571, 0.615
1.000, 1.000, 1.000
0.200, 0.333, 0.250
1.000, 1.000, 1.000
0.200, 0.500, 0.286
0.778, 0.875, 0.824
0.500, 1.000, 0.667
0.571, 1.000, 0.727
1.000, 1.000, 1.000
0.857, 0.667, 0.750
0.556, 1.000, 0.714
0.889, 1.000, 0.941
0.846, 0.786, 0.815
0.857, 1.000, 0.923
1.000, 1.000, 1.000
0.208, 0.385, 0.270
1.000, 1.000, 1.000
0.154, 0.182, 0.167
0.500, 0.556, 0.526
0.667, 1.000, 0.800
0.909, 0.833, 0.870
1.000, 0.333, 0.500
1.000, 1.000, 1.000
0.462, 0.300, 0.364
0.571, 0.800, 0.667
1.000, 1.000, 1.000
0.750, 0.750, 0.750
1.000, 0.692, 0.818
1.000, 0.667, 0.800
1.000, 0.333, 0.500
1.000, 0.667, 0.800
0.778, 0.875, 0.824
1.000, 1.000, 1.000
1.000, 1.000, 1.000
0.667, 0.800, 0.727
1.000, 1.000, 1.000
1.000, 0.667, 0.800
1.000, 0.667, 0.800
1.000, 1.000, 1.000
0.833, 1.000, 0.909
1.000, 1.000, 1.000
0.565, 0.765, 0.650
0.556, 0.833, 0.667
1.000, 1.000, 1.000
1.000, 0.500, 0.667
1.000, 1.000, 1.000
1.000, 1.000, 1.000
0.947, 0.720, 0.818
0.667, 1.000, 0.800
0.667, 0.500, 0.571
1.000, 1.000, 1.000
1.000, 1.000, 1.000
1.000, 1.000, 1.000
1.000, 0.667, 0.800
1.000, 1.000, 1.000
0.500, 0.400, 0.444
0.000, 0.000, 0.000
1.000, 1.000, 1.000
1.000, 1.000, 1.000
0.600, 0.667, 0.632
1.000, 0.800, 0.889
0.750, 0.429, 0.545
0.857, 0.667, 0.750
0.167, 0.333, 0.222
1.000, 1.000, 1.000
1.000, 1.000, 1.000
1.000, 1.000, 1.000
0.750, 0.545, 0.632
0.000, 0.000, 0.000
1.000, 0.857, 0.923
0.750, 1.000, 0.857
0.600, 0.429, 0.500
0.286, 0.222, 0.250
0.700, 0.700, 0.700
0.778, 0.875, 0.824
1.000, 1.000, 1.000
0.840, 0.525, 0.646
0.182, 0.308, 0.229
0.750, 0.857, 0.800
0.714, 0.667, 0.690
0.800, 0.800, 0.800
0.714, 0.833, 0.769
0.250, 0.333, 0.286
0.625, 0.714, 0.667
1.000, 1.000, 1.000
1.000, 1.000, 1.000
1.000, 1.000, 1.000
1.000, 1.000, 1.000
0.500, 0.571, 0.533
0.533, 0.500, 0.516
0.833, 0.345, 0.488
1.000, 1.000, 1.000
0.889, 0.889, 0.889
1.000, 0.750, 0.857
0.333, 0.500, 0.400
0.286, 0.667, 0.400
0.333, 0.625, 0.435
0.286, 0.500, 0.364
1.000, 0.833, 0.909
1.000, 0.778, 0.875
0.600, 0.600, 0.600
0.667, 0.500, 0.571
1.000, 1.000, 1.000
1.000, 1.000, 1.000
1.000, 1.000, 1.000
0.750, 0.750, 0.750
1.000, 1.000, 1.000
1.000, 1.000, 1.000
0.750, 1.000, 0.857
0.700, 0.467, 0.560
1.000, 1.000, 1.000
1.000, 1.000, 1.000
1.000, 1.000, 1.000
1.000, 0.833, 0.909
1.000, 1.000, 1.000
0.500, 0.750, 0.600
0.500, 0.556, 0.526
1.000, 1.000, 1.000
1.000, 0.667, 0.800
0.500, 0.800, 0.615
0.750, 0.857, 0.800
0.500, 0.571, 0.533
0.250, 0.500, 0.333
0.600, 0.750, 0.667
1.000, 1.000, 1.000
0.727, 0.800, 0.762
1.000, 0.875, 0.933
0.000, 0.000, 0.000
0.250, 0.286, 0.267
1.000, 1.000, 1.000
0.640, 0.800, 0.711
0.900, 0.900, 0.900
1.000, 1.000, 1.000
1.000, 1.000, 1.000
0.200, 0.333, 0.250
0.625, 0.833, 0.714
0.857, 0.750, 0.800
1.000, 0.857, 0.923
1.000, 0.500, 0.667
0.500, 0.667, 0.571
0.667, 0.667, 0.667
0.889, 0.889, 0.889
0.800, 0.889, 0.842
1.000, 1.000, 1.000
1.000, 1.000, 1.000
0.846, 0.846, 0.846
1.000, 1.000, 1.000
0.400, 0.667, 0.500
0.333, 0.444, 0.381
0.385, 0.714, 0.500
0.769, 0.667, 0.714
1.000, 0.667, 0.800
1.000, 0.625, 0.769
1.000, 1.000, 1.000
0.667, 0.667, 0.667
0.875, 0.875, 0.875
0.600, 1.000, 0.750
0.571, 0.800, 0.667
0.778, 0.875, 0.824
1.000, 1.000, 1.000
1.000, 1.000, 1.000
1.000, 1.000, 1.000
0.750, 0.750, 0.750
1.000, 1.000, 1.000
1.000, 1.000, 1.000
1.000, 0.400, 0.571
0.444, 0.571, 0.500
0.467, 0.636, 0.538
1.000, 1.000, 1.000
0.333, 0.500, 0.400
1.000, 0.400, 0.571
1.000, 1.000, 1.000
0.750, 0.818, 0.783
0.500, 0.667, 0.571
0.400, 0.667, 0.500
1.000, 1.000, 1.000
0.400, 0.500, 0.444
0.333, 0.400, 0.364
0.556, 0.714, 0.625
0.600, 0.500, 0.545
1.000, 1.000, 1.000
0.400, 0.667, 0.500
0.375, 0.600, 0.462
1.000, 1.000, 1.000
1.000, 0.400, 0.571
0.500, 0.500, 0.500
1.000, 1.000, 1.000
0.667, 0.667, 0.667
1.000, 1.000, 1.000
0.500, 0.667, 0.571
0.857, 0.500, 0.632
0.667, 0.667, 0.667
0.625, 1.000, 0.769
0.833, 0.833, 0.833
1.000, 0.600, 0.750
1.000, 1.000, 1.000
0.571, 0.800, 0.667
0.500, 0.667, 0.571
1.000, 0.857, 0.923
0.571, 0.571, 0.571
1.000, 1.000, 1.000
1.000, 1.000, 1.000
1.000, 1.000, 1.000
0.875, 0.875, 0.875
1.000, 1.000, 1.000
1.000, 1.000, 1.000
0.857, 0.750, 0.800
0.800, 1.000, 0.889
1.000, 1.000, 1.000
0.800, 1.000, 0.889
1.000, 1.000, 1.000
0.600, 1.000, 0.750
0.286, 0.500, 0.364
0.875, 0.875, 0.875
0.857, 0.353, 0.500
0.500, 0.600, 0.545
1.000, 1.000, 1.000
0.889, 0.800, 0.842
1.000, 1.000, 1.000
0.875, 0.583, 0.700
1.000, 1.000, 1.000
0.571, 0.800, 0.667
0.700, 0.700, 0.700
1.000, 1.000, 1.000
0.800, 0.800, 0.800
0.429, 0.429, 0.429
0.000, 0.000, 0.000
0.333, 0.500, 0.400
1.000, 0.750, 0.857
1.000, 1.000, 1.000
0.625, 0.714, 0.667
1.000, 1.000, 1.000
0.500, 0.556, 0.526
0.667, 1.000, 0.800
0.500, 0.750, 0.600
0.000, 0.000, 0.000
1.000, 1.000, 1.000
0.700, 0.583, 0.636
1.000, 1.000, 1.000
0.800, 0.800, 0.800
1.000, 1.000, 1.000
0.900, 0.900, 0.900
0.500, 0.500, 0.500
0.600, 0.600, 0.600
0.750, 0.750, 0.750
1.000, 1.000, 1.000
0.667, 1.000, 0.800
0.111, 0.333, 0.167
0.600, 0.500, 0.545
1.000, 0.750, 0.857
0.600, 0.750, 0.667
0.750, 1.000, 0.857
1.000, 1.000, 1.000
0.818, 0.900, 0.857
1.000, 1.000, 1.000
0.667, 0.571, 0.615
0.875, 0.700, 0.778
0.667, 1.000, 0.800
1.000, 1.000, 1.000
0.500, 0.600, 0.545
0.400, 0.571, 0.471
0.542, 0.500, 0.520
0.364, 0.308, 0.333
1.000, 1.000, 1.000
0.500, 0.667, 0.571
0.200, 0.500, 0.286
0.333, 0.500, 0.400
0.333, 0.500, 0.400
0.667, 0.750, 0.706
0.909, 0.769, 0.833
0.400, 1.000, 0.571
0.857, 0.857, 0.857
1.000, 1.000, 1.000
0.800, 0.500, 0.615
1.000, 1.000, 1.000
0.750, 0.600, 0.667
0.778, 0.778, 0.778
1.000, 1.000, 1.000
1.000, 1.000, 1.000
0.000, 0.000, 0.000
1.000, 1.000, 1.000
1.000, 1.000, 1.000
0.400, 0.400, 0.400
0.667, 0.667, 0.667
0.538, 0.538, 0.538
1.000, 1.000, 1.000
1.000, 1.000, 1.000
0.500, 0.333, 0.400
0.400, 0.545, 0.462
